Row ID,Order ID,Order Date,Ship Date,Customer ID,Product ID,Segment,Ship Mode,Discount,Postal Code,Profit,Quantity,Sales
1,ORD00001,18-02-2022,22-02-2022,CUST0533,PROD833,Home Office,Standard Class,0.29,452001,62.7,5,415.13
2,ORD00002,01-07-2024,04-07-2024,CUST0522,PROD966,Home Office,Standard Class,0.13,411001,380.53,1,28.11
3,ORD00003,04-11-2022,11-11-2022,CUST0374,PROD149,Consumer,Second Class,0.09,560001,359.27,9,190.96
4,ORD00004,04-10-2023,08-10-2023,CUST0144,PROD338,Home Office,Standard Class,0.44,411001,-13.51,6,1144.73
5,ORD00005,07-03-2021,13-03-2021,CUST0001,PROD781,Home Office,Same Day,0.27,600001,245.87,5,1063.77
6,ORD00006,21-02-2022,25-02-2022,CUST0718,PROD284,Corporate,First Class,0.45,530001,197.84,4,1305
7,ORD00007,22-07-2024,25-07-2024,CUST0314,PROD729,Consumer,Standard Class,0.29,600001,240.18,4,596.1
8,ORD00008,05-01-2023,09-01-2023,CUST0182,PROD771,Home Office,Second Class,0.4,700001,428.67,3,201.35
9,ORD00009,05-09-2024,08-09-2024,CUST0280,PROD143,Home Office,Second Class,0.35,751001,55.64,5,1198.49
10,ORD00010,29-05-2024,02-06-2024,CUST0131,PROD230,Consumer,Second Class,0.06,695001,149.74,1,257.87
11,ORD00011,27-11-2024,03-12-2024,CUST0391,PROD101,Corporate,Second Class,0.46,440001,163.26,6,2082.12
12,ORD00012,26-07-2022,28-07-2022,CUST0666,PROD283,Corporate,Second Class,0.03,695001,23.73,1,217
13,ORD00013,14-04-2023,19-04-2023,CUST0558,PROD738,Home Office,First Class,0.33,530001,278.99,6,2178.92
14,ORD00014,08-10-2024,09-10-2024,CUST0455,PROD365,Consumer,Standard Class,0.28,781001,233.85,7,3320.82
15,ORD00015,10-06-2023,15-06-2023,CUST0233,PROD103,Corporate,Same Day,0.18,462001,147.65,6,865.48
16,ORD00016,12-04-2023,15-04-2023,CUST0772,PROD666,Consumer,Standard Class,0.12,751001,299.2,2,880.76
17,ORD00017,07-01-2023,14-01-2023,CUST0798,PROD843,Corporate,Second Class,0.08,452001,452.67,8,2562.85
18,ORD00018,01-07-2023,04-07-2023,CUST0579,PROD259,Corporate,Second Class,0.32,411001,29.27,9,1621.88
19,ORD00019,26-08-2024,28-08-2024,CUST0232,PROD691,Consumer,Second Class,0.12,160001,247.08,1,455.75
20,ORD00020,25-05-2023,01-06-2023,CUST0032,PROD489,Consumer,Same Day,0.05,440001,144.16,6,1091.08
21,ORD00021,13-07-2024,18-07-2024,CUST0560,PROD871,Home Office,Same Day,0.26,462001,492.45,2,843.84
22,ORD00022,27-09-2022,04-10-2022,CUST0018,PROD926,Home Office,Same Day,0.48,395001,138.09,5,638.63
23,ORD00023,18-10-2021,20-10-2021,CUST0070,PROD536,Corporate,Standard Class,0.06,411001,432.84,2,575.99
24,ORD00024,26-04-2021,01-05-2021,CUST0523,PROD807,Consumer,Second Class,0.26,695001,76.04,8,3900.04
25,ORD00025,06-07-2021,09-07-2021,CUST0389,PROD876,Corporate,Same Day,0.09,700001,-12.73,3,1361.4
26,ORD00026,06-02-2022,08-02-2022,CUST0290,PROD376,Corporate,Same Day,0.24,700001,184.53,8,2713.32
27,ORD00027,08-10-2024,10-10-2024,CUST0429,PROD838,Corporate,First Class,0,560001,433.32,6,745.35
28,ORD00028,26-07-2021,29-07-2021,CUST0027,PROD900,Home Office,First Class,0.26,800001,198.51,4,755.03
29,ORD00029,24-02-2021,27-02-2021,CUST0049,PROD199,Consumer,Standard Class,0.11,160001,471.89,1,435.93
30,ORD00030,18-06-2021,23-06-2021,CUST0124,PROD227,Consumer,Second Class,0.12,380001,28.89,7,1205.09
31,ORD00031,15-06-2022,16-06-2022,CUST0207,PROD272,Consumer,Standard Class,0.3,440001,169.29,9,2110.53
32,ORD00032,13-08-2022,20-08-2022,CUST0586,PROD720,Home Office,Standard Class,0.2,462001,402.04,4,429.47
33,ORD00033,27-02-2023,06-03-2023,CUST0183,PROD863,Consumer,Same Day,0.43,800001,225.61,5,402.81
34,ORD00034,06-12-2024,09-12-2024,CUST0307,PROD719,Consumer,Second Class,0.31,600001,431.88,8,1728.42
35,ORD00035,19-06-2022,21-06-2022,CUST0636,PROD617,Consumer,Standard Class,0.42,560001,115.85,2,128.63
36,ORD00036,11-10-2023,14-10-2023,CUST0148,PROD185,Consumer,Standard Class,0.18,411001,407.85,6,2930.89
37,ORD00037,27-08-2022,02-09-2022,CUST0365,PROD774,Corporate,Second Class,0.3,302001,6.39,6,1650.94
38,ORD00038,26-11-2022,27-11-2022,CUST0468,PROD921,Home Office,Same Day,0.45,452001,135.69,7,1405.76
39,ORD00039,16-08-2022,18-08-2022,CUST0112,PROD860,Corporate,Same Day,0.05,395001,325.85,3,1402.81
40,ORD00040,29-05-2023,02-06-2023,CUST0076,PROD550,Home Office,Same Day,0.17,462001,79.14,6,1967.47
41,ORD00041,17-09-2024,24-09-2024,CUST0279,PROD704,Home Office,Second Class,0.29,781001,-40.83,9,786.84
42,ORD00042,24-10-2024,26-10-2024,CUST0690,PROD505,Home Office,First Class,0.41,800001,-42.75,2,676.99
43,ORD00043,10-05-2021,12-05-2021,CUST0428,PROD407,Consumer,First Class,0.09,700001,244.82,2,906.99
44,ORD00044,01-04-2024,07-04-2024,CUST0403,PROD854,Home Office,Second Class,0.11,560001,303.75,8,2529.32
45,ORD00045,05-11-2024,07-11-2024,CUST0161,PROD459,Corporate,First Class,0.01,400001,159.1,7,1478.64
46,ORD00046,26-11-2022,27-11-2022,CUST0529,PROD694,Home Office,First Class,0.32,110001,161.48,9,1015.72
47,ORD00047,25-08-2023,31-08-2023,CUST0566,PROD414,Corporate,Same Day,0.45,700001,445.9,2,490.74
48,ORD00048,10-06-2022,14-06-2022,CUST0346,PROD995,Home Office,Second Class,0.4,800001,393.03,4,289.59
49,ORD00049,15-08-2024,16-08-2024,CUST0111,PROD435,Consumer,First Class,0.42,781001,0.88,9,2336.61
50,ORD00050,25-05-2024,27-05-2024,CUST0376,PROD108,Consumer,Same Day,0.48,395001,263.21,1,143.91
51,ORD00051,11-01-2021,16-01-2021,CUST0158,PROD762,Home Office,Standard Class,0.13,452001,229.03,7,632.59
52,ORD00052,13-03-2022,17-03-2022,CUST0304,PROD890,Corporate,Same Day,0.44,160001,126.34,8,1555.2
53,ORD00053,05-06-2021,11-06-2021,CUST0603,PROD523,Consumer,Standard Class,0.07,600001,228.9,6,789.9
54,ORD00054,06-10-2021,07-10-2021,CUST0748,PROD119,Consumer,Standard Class,0.28,600001,-18.54,3,1396.22
55,ORD00055,11-01-2022,12-01-2022,CUST0098,PROD833,Consumer,First Class,0.06,400001,247.45,7,2301.86
56,ORD00056,27-11-2021,01-12-2021,CUST0639,PROD585,Corporate,First Class,0.22,695001,303.85,8,3496.21
57,ORD00057,15-07-2023,17-07-2023,CUST0432,PROD789,Home Office,Standard Class,0.22,560001,-41.07,1,129.13
58,ORD00058,24-04-2023,27-04-2023,CUST0429,PROD756,Corporate,Second Class,0.42,302001,200.89,6,501.14
59,ORD00059,19-08-2021,24-08-2021,CUST0038,PROD996,Consumer,First Class,0.09,411001,419.33,6,1434.47
60,ORD00060,22-03-2024,28-03-2024,CUST0783,PROD736,Consumer,Standard Class,0.1,400001,171.28,4,998.16
61,ORD00061,24-02-2022,28-02-2022,CUST0507,PROD506,Home Office,Standard Class,0.04,751001,387.31,5,1774.98
62,ORD00062,16-10-2023,20-10-2023,CUST0579,PROD112,Consumer,Same Day,0.11,226001,143.37,6,976.66
63,ORD00063,10-02-2021,13-02-2021,CUST0323,PROD472,Home Office,Same Day,0.33,160001,-29.74,1,185.87
64,ORD00064,11-01-2022,13-01-2022,CUST0538,PROD504,Corporate,First Class,0.05,395001,77.39,7,604.83
65,ORD00065,03-08-2023,08-08-2023,CUST0753,PROD826,Consumer,Standard Class,0.25,452001,335,3,906.02
66,ORD00066,25-02-2024,01-03-2024,CUST0398,PROD980,Home Office,First Class,0.34,700001,122.46,9,3884.15
67,ORD00067,15-03-2024,19-03-2024,CUST0387,PROD975,Home Office,Second Class,0.02,560001,167.92,6,1410.1
68,ORD00068,23-05-2023,25-05-2023,CUST0354,PROD818,Corporate,First Class,0.06,462001,495.31,9,2355.4
69,ORD00069,15-03-2023,16-03-2023,CUST0238,PROD516,Consumer,Standard Class,0.26,226001,66.26,7,2692.51
70,ORD00070,26-02-2024,28-02-2024,CUST0754,PROD843,Consumer,Second Class,0.07,500001,244.74,5,1333.96
71,ORD00071,23-11-2024,24-11-2024,CUST0350,PROD878,Corporate,Second Class,0.11,462001,475.38,6,261.12
72,ORD00072,10-04-2023,14-04-2023,CUST0289,PROD583,Home Office,Second Class,0.04,395001,317.7,1,12.71
73,ORD00073,02-09-2022,08-09-2022,CUST0715,PROD167,Home Office,Same Day,0.4,700001,423.31,7,1095.15
74,ORD00074,09-06-2021,11-06-2021,CUST0247,PROD750,Home Office,First Class,0.09,560001,4.77,2,474.23
75,ORD00075,05-06-2022,12-06-2022,CUST0277,PROD962,Consumer,Same Day,0.03,800001,-28.92,5,1556.19
